"approval_id","command_id","approver","decision","decision_reason","decision_time"
"APR202603220001","CMD202603220001","manager01","APPROVED","risk_assessed_and_accepted","2026-03-23 12:35:00"
"APR202603220002","CMD202603220002","manager02","APPROVED","risk_assessed_and_accepted","2026-03-23 15:35:00"
"APR202603220003","CMD202603220003","manager01","APPROVED","risk_assessed_and_accepted","2026-03-23 18:35:00"
"APR202603220004","CMD202603220004","manager02","APPROVED","risk_assessed_and_accepted","2026-03-23 21:35:00"
"APR202603220005","CMD202603220005","manager01","APPROVED","risk_assessed_and_accepted","2026-03-24 00:35:00"
"APR202603220006","CMD202603220006","manager02","APPROVED","risk_assessed_and_accepted","2026-03-24 03:35:00"
"APR202603220007","CMD202603220007","manager01","REJECTED","insufficient_business_justification","2026-03-24 06:35:00"
"APR202603220008","CMD202603220008","manager02","APPROVED","risk_assessed_and_accepted","2026-03-24 09:35:00"
"APR202603220009","CMD202603220009","manager01","APPROVED","risk_assessed_and_accepted","2026-03-24 12:35:00"
"APR202603220010","CMD202603220010","manager02","APPROVED","risk_assessed_and_accepted","2026-03-24 15:35:00"
"APR202603220011","CMD202603220011","manager01","APPROVED","risk_assessed_and_accepted","2026-03-24 18:35:00"
"APR202603220012","CMD202603220012","manager02","APPROVED","risk_assessed_and_accepted","2026-03-24 21:35:00"
"APR202603220013","CMD202603220013","manager01","APPROVED","risk_assessed_and_accepted","2026-03-25 00:35:00"
"APR202603220014","CMD202603220014","manager02","REJECTED","insufficient_business_justification","2026-03-25 03:35:00"
"APR202603220015","CMD202603220015","manager01","APPROVED","risk_assessed_and_accepted","2026-03-25 06:35:00"
"APR202603220016","CMD202603220016","manager02","APPROVED","risk_assessed_and_accepted","2026-03-25 09:35:00"
