"employee_id","process_code","skill_level","efficiency_factor","active_flag","updated_at"
"E10001","PROC-010","INDEPENDENT","1.18","1","2026-03-22 09:10:00"
"E10001","PROC-020","INDEPENDENT","1.01","1","2026-03-22 09:10:00"
"E10001","PROC-030","ASSIST","1.13","1","2026-03-22 09:10:00"
"E10002","PROC-020","INDEPENDENT","1.1","1","2026-03-22 09:10:00"
"E10002","PROC-050","INDEPENDENT","0.89","1","2026-03-22 09:10:00"
"E10002","PROC-070","ASSIST","1.02","1","2026-03-22 09:10:00"
"E10003","PROC-070","INDEPENDENT","0.97","1","2026-03-22 09:10:00"
"E10003","PROC-080","INDEPENDENT","1.16","1","2026-03-22 09:10:00"
"E10003","PROC-100","ASSIST","1.2","1","2026-03-22 09:10:00"
"E10004","PROC-080","INDEPENDENT","1.18","1","2026-03-22 09:10:00"
"E10004","PROC-090","INDEPENDENT","1.1","1","2026-03-22 09:10:00"
"E10004","PROC-110","ASSIST","1.16","1","2026-03-22 09:10:00"
"E10005","PROC-010","INDEPENDENT","0.91","1","2026-03-22 09:10:00"
"E10005","PROC-060","INDEPENDENT","0.91","1","2026-03-22 09:10:00"
"E10005","PROC-030","ASSIST","1.05","1","2026-03-22 09:10:00"
"E10005","PROC-110","ASSIST","0.89","1","2026-03-22 09:10:00"
"E10006","PROC-040","INDEPENDENT","1.01","1","2026-03-22 09:10:00"
"E10006","PROC-060","INDEPENDENT","0.98","1","2026-03-22 09:10:00"
"E10006","PROC-070","ASSIST","1.05","1","2026-03-22 09:10:00"
"E10007","PROC-070","INDEPENDENT","1.01","1","2026-03-22 09:10:00"
"E10007","PROC-080","INDEPENDENT","0.89","1","2026-03-22 09:10:00"
"E10007","PROC-100","ASSIST","1.04","1","2026-03-22 09:10:00"
"E10008","PROC-090","INDEPENDENT","0.9","1","2026-03-22 09:10:00"
"E10008","PROC-100","INDEPENDENT","0.93","1","2026-03-22 09:10:00"
"E10008","PROC-110","ASSIST","1.13","1","2026-03-22 09:10:00"
"E10009","PROC-010","INDEPENDENT","0.87","1","2026-03-22 09:10:00"
"E10009","PROC-020","INDEPENDENT","0.91","1","2026-03-22 09:10:00"
"E10009","PROC-030","ASSIST","0.96","1","2026-03-22 09:10:00"
"E10010","PROC-020","INDEPENDENT","1.07","1","2026-03-22 09:10:00"
"E10010","PROC-050","INDEPENDENT","1.02","1","2026-03-22 09:10:00"
"E10010","PROC-070","ASSIST","1.05","1","2026-03-22 09:10:00"
"E10010","PROC-110","ASSIST","1.02","1","2026-03-22 09:10:00"
