"material_code","order_no","process_code","available_qty","available_time","ready_flag","updated_at"
"M-BAL-BASE","MO2026032200001","PROC-020","701","2026-04-02 00:01:00","0","2026-04-02 00:06:00"
"M-CATH-TUBE","MO2026032200001","PROC-040","512","2026-04-01 02:20:00","0","2026-04-01 02:25:00"
"M-COAT-002","MO2026032200001","PROC-050","246","2026-04-01 12:01:00","0","2026-04-01 12:06:00"
"M-PACK-BAL","MO2026032200001","PROC-110","458","2026-04-01 11:31:00","0","2026-04-01 11:36:00"
"M-BAL-BASE","MO2026032200002","PROC-020","650","2026-04-01 04:19:00","0","2026-04-01 04:24:00"
"M-CATH-TUBE","MO2026032200002","PROC-040","716","2026-04-01 03:02:00","1","2026-04-01 03:07:00"
"M-COAT-002","MO2026032200002","PROC-050","278","2026-04-01 12:11:00","1","2026-04-01 12:16:00"
"M-PACK-BAL","MO2026032200002","PROC-110","714","2026-04-01 07:17:00","1","2026-04-01 07:22:00"
"M-STENT-WIRE","MO2026032200003","PROC-060","407","2026-04-03 01:58:00","0","2026-04-03 02:03:00"
"M-LASER-TUBE","MO2026032200003","PROC-030","468","2026-04-02 10:28:00","0","2026-04-02 10:33:00"
"M-DRUG-COAT","MO2026032200003","PROC-090","162","2026-04-03 14:52:00","0","2026-04-03 14:57:00"
"M-PACK-STENT","MO2026032200003","PROC-110","439","2026-04-03 10:07:00","0","2026-04-03 10:12:00"
"M-RESIN-001","MO2026032200004","PROC-020","546","2026-04-04 17:44:00","0","2026-04-04 17:49:00"
"M-WIRE-001","MO2026032200004","PROC-030","506","2026-04-03 04:51:00","0","2026-04-03 04:56:00"
"M-COAT-001","MO2026032200004","PROC-050","235","2026-04-03 18:07:00","0","2026-04-03 18:12:00"
"M-PACK-ANGIO","MO2026032200004","PROC-110","334","2026-04-03 21:41:00","0","2026-04-03 21:46:00"
"M-STENT-WIRE","MO2026032200005","PROC-060","546","2026-04-03 02:15:00","0","2026-04-03 02:20:00"
"M-LASER-TUBE","MO2026032200005","PROC-030","326","2026-04-04 08:17:00","0","2026-04-04 08:22:00"
"M-DRUG-COAT","MO2026032200005","PROC-090","135","2026-04-04 09:12:00","0","2026-04-04 09:17:00"
"M-PACK-STENT","MO2026032200005","PROC-110","457","2026-04-04 04:40:00","0","2026-04-04 04:45:00"
"M-RESIN-001","MO2026032200006","PROC-020","790","2026-04-03 21:54:00","0","2026-04-03 21:59:00"
"M-WIRE-001","MO2026032200006","PROC-030","281","2026-04-04 02:01:00","0","2026-04-04 02:06:00"
"M-COAT-001","MO2026032200006","PROC-050","141","2026-04-04 13:22:00","0","2026-04-04 13:27:00"
"M-PACK-ANGIO","MO2026032200006","PROC-110","309","2026-04-05 00:55:00","0","2026-04-05 01:00:00"
"M-BAL-BASE","MO2026032200007","PROC-020","988","2026-04-05 12:44:00","0","2026-04-05 12:49:00"
"M-CATH-TUBE","MO2026032200007","PROC-040","485","2026-04-05 08:13:00","0","2026-04-05 08:18:00"
"M-COAT-002","MO2026032200007","PROC-050","201","2026-04-04 16:21:00","0","2026-04-04 16:26:00"
"M-PACK-BAL","MO2026032200007","PROC-110","605","2026-04-06 01:25:00","0","2026-04-06 01:30:00"
"M-BAL-BASE","MO2026032200008","PROC-020","514","2026-04-06 00:26:00","0","2026-04-06 00:31:00"
"M-CATH-TUBE","MO2026032200008","PROC-040","367","2026-04-04 18:30:00","0","2026-04-04 18:35:00"
"M-COAT-002","MO2026032200008","PROC-050","241","2026-04-05 21:31:00","1","2026-04-05 21:36:00"
"M-PACK-BAL","MO2026032200008","PROC-110","314","2026-04-05 20:08:00","0","2026-04-05 20:13:00"
"M-RESIN-001","MO2026032200009","PROC-020","1322","2026-04-05 09:39:00","1","2026-04-05 09:44:00"
"M-WIRE-001","MO2026032200009","PROC-030","476","2026-04-06 10:06:00","0","2026-04-06 10:11:00"
"M-COAT-001","MO2026032200009","PROC-050","200","2026-04-06 11:48:00","0","2026-04-06 11:53:00"
"M-PACK-ANGIO","MO2026032200009","PROC-110","300","2026-04-04 21:17:00","0","2026-04-04 21:22:00"
"M-BAL-BASE","MO2026032200010","PROC-020","834","2026-04-07 06:46:00","0","2026-04-07 06:51:00"
"M-CATH-TUBE","MO2026032200010","PROC-040","738","2026-04-06 19:10:00","0","2026-04-06 19:15:00"
"M-COAT-002","MO2026032200010","PROC-050","458","2026-04-06 18:07:00","1","2026-04-06 18:12:00"
"M-PACK-BAL","MO2026032200010","PROC-110","1052","2026-04-07 08:00:00","1","2026-04-07 08:05:00"
"M-BAL-BASE","MO2026032200011","PROC-020","1040","2026-04-06 01:41:00","1","2026-04-06 01:46:00"
"M-CATH-TUBE","MO2026032200011","PROC-040","381","2026-04-07 04:43:00","0","2026-04-07 04:48:00"
"M-COAT-002","MO2026032200011","PROC-050","158","2026-04-07 06:52:00","0","2026-04-07 06:57:00"
"M-PACK-BAL","MO2026032200011","PROC-110","436","2026-04-07 04:52:00","0","2026-04-07 04:57:00"
"M-STENT-WIRE","MO2026032200012","PROC-060","389","2026-04-07 20:03:00","0","2026-04-07 20:08:00"
"M-LASER-TUBE","MO2026032200012","PROC-030","432","2026-04-06 23:52:00","0","2026-04-06 23:57:00"
"M-DRUG-COAT","MO2026032200012","PROC-090","105","2026-04-08 02:24:00","0","2026-04-08 02:29:00"
"M-PACK-STENT","MO2026032200012","PROC-110","491","2026-04-07 13:30:00","0","2026-04-07 13:35:00"
"M-BAL-BASE","MO2026032200013","PROC-020","1183","2026-04-08 07:57:00","1","2026-04-08 08:02:00"
"M-CATH-TUBE","MO2026032200013","PROC-040","822","2026-04-08 17:13:00","1","2026-04-08 17:18:00"
"M-COAT-002","MO2026032200013","PROC-050","209","2026-04-07 09:22:00","0","2026-04-07 09:27:00"
"M-PACK-BAL","MO2026032200013","PROC-110","585","2026-04-07 15:40:00","0","2026-04-07 15:45:00"
"M-STENT-WIRE","MO2026032200014","PROC-060","329","2026-04-08 00:43:00","0","2026-04-08 00:48:00"
"M-LASER-TUBE","MO2026032200014","PROC-030","173","2026-04-08 15:47:00","0","2026-04-08 15:52:00"
"M-DRUG-COAT","MO2026032200014","PROC-090","80","2026-04-09 03:51:00","0","2026-04-09 03:56:00"
"M-PACK-STENT","MO2026032200014","PROC-110","170","2026-04-09 17:24:00","0","2026-04-09 17:29:00"
"M-RESIN-001","MO2026032200015","PROC-020","1323","2026-04-09 02:46:00","0","2026-04-09 02:51:00"
"M-WIRE-001","MO2026032200015","PROC-030","659","2026-04-10 04:57:00","0","2026-04-10 05:02:00"
"M-COAT-001","MO2026032200015","PROC-050","196","2026-04-09 01:32:00","0","2026-04-09 01:37:00"
"M-PACK-ANGIO","MO2026032200015","PROC-110","871","2026-04-09 11:27:00","1","2026-04-09 11:32:00"
"M-STENT-WIRE","MO2026032200016","PROC-060","489","2026-04-10 15:50:00","0","2026-04-10 15:55:00"
"M-LASER-TUBE","MO2026032200016","PROC-030","303","2026-04-08 23:37:00","0","2026-04-08 23:42:00"
"M-DRUG-COAT","MO2026032200016","PROC-090","138","2026-04-10 10:00:00","0","2026-04-10 10:05:00"
"M-PACK-STENT","MO2026032200016","PROC-110","521","2026-04-10 04:29:00","0","2026-04-10 04:34:00"
"M-STENT-WIRE","MO2026032200017","PROC-060","425","2026-04-09 22:15:00","0","2026-04-09 22:20:00"
"M-LASER-TUBE","MO2026032200017","PROC-030","439","2026-04-09 19:19:00","1","2026-04-09 19:24:00"
"M-DRUG-COAT","MO2026032200017","PROC-090","182","2026-04-08 19:34:00","1","2026-04-08 19:39:00"
"M-PACK-STENT","MO2026032200017","PROC-110","474","2026-04-10 12:37:00","1","2026-04-10 12:42:00"
"M-RESIN-001","MO2026032200018","PROC-020","606","2026-04-09 19:01:00","0","2026-04-09 19:06:00"
"M-WIRE-001","MO2026032200018","PROC-030","273","2026-04-10 17:07:00","0","2026-04-10 17:12:00"
"M-COAT-001","MO2026032200018","PROC-050","134","2026-04-11 01:55:00","0","2026-04-11 02:00:00"
"M-PACK-ANGIO","MO2026032200018","PROC-110","260","2026-04-10 23:37:00","0","2026-04-10 23:42:00"
"M-BAL-BASE","MO2026032200019","PROC-020","736","2026-04-11 09:20:00","0","2026-04-11 09:25:00"
"M-CATH-TUBE","MO2026032200019","PROC-040","396","2026-04-11 08:58:00","0","2026-04-11 09:03:00"
"M-COAT-002","MO2026032200019","PROC-050","321","2026-04-11 11:28:00","1","2026-04-11 11:33:00"
"M-PACK-BAL","MO2026032200019","PROC-110","321","2026-04-12 05:06:00","0","2026-04-12 05:11:00"
"M-BAL-BASE","MO2026032200020","PROC-020","380","2026-04-12 11:08:00","0","2026-04-12 11:13:00"
"M-CATH-TUBE","MO2026032200020","PROC-040","448","2026-04-11 03:58:00","1","2026-04-11 04:03:00"
"M-COAT-002","MO2026032200020","PROC-050","228","2026-04-10 17:40:00","1","2026-04-10 17:45:00"
"M-PACK-BAL","MO2026032200020","PROC-110","261","2026-04-12 07:11:00","0","2026-04-12 07:16:00"
"M-RESIN-001","MO2026032200021","PROC-020","899","2026-04-06 19:45:00","0","2026-04-06 19:50:00"
"M-WIRE-001","MO2026032200021","PROC-030","379","2026-04-06 00:30:00","0","2026-04-06 00:35:00"
"M-COAT-001","MO2026032200021","PROC-050","323","2026-04-06 07:10:00","1","2026-04-06 07:15:00"
