"order_no","order_type","mrp_run_id","run_time","last_update_time"
"MO2026032200001","production","MRP20260322A","2026-03-22 09:00:00","2026-03-22 09:05:00"
"MO2026032200001","production","MRP20260324R","2026-03-24 09:00:00","2026-03-24 09:08:00"
"MO2026032200002","production","MRP20260322B","2026-03-22 09:18:00","2026-03-22 09:23:00"
"MO2026032200003","production","MRP20260322C","2026-03-22 09:36:00","2026-03-22 09:41:00"
"MO2026032200004","production","MRP20260323A","2026-03-22 09:54:00","2026-03-22 09:59:00"
"MO2026032200005","production","MRP20260322A","2026-03-22 10:12:00","2026-03-22 10:17:00"
"MO2026032200006","production","MRP20260322B","2026-03-22 10:30:00","2026-03-22 10:35:00"
"MO2026032200007","production","MRP20260322C","2026-03-22 10:48:00","2026-03-22 10:53:00"
"MO2026032200008","production","MRP20260323A","2026-03-22 11:06:00","2026-03-22 11:11:00"
"MO2026032200009","production","MRP20260322A","2026-03-22 11:24:00","2026-03-22 11:29:00"
"MO2026032200010","production","MRP20260322B","2026-03-22 11:42:00","2026-03-22 11:47:00"
"MO2026032200011","production","MRP20260322C","2026-03-22 12:00:00","2026-03-22 12:05:00"
"MO2026032200012","production","MRP20260323A","2026-03-22 12:18:00","2026-03-22 12:23:00"
"MO2026032200012","production","MRP20260324R","2026-03-24 12:18:00","2026-03-24 12:26:00"
"MO2026032200013","production","MRP20260322A","2026-03-22 12:36:00","2026-03-22 12:41:00"
"MO2026032200014","production","MRP20260322B","2026-03-22 12:54:00","2026-03-22 12:59:00"
"MO2026032200015","production","MRP20260322C","2026-03-22 13:12:00","2026-03-22 13:17:00"
"MO2026032200016","production","MRP20260323A","2026-03-22 13:30:00","2026-03-22 13:35:00"
"MO2026032200017","production","MRP20260322A","2026-03-22 13:48:00","2026-03-22 13:53:00"
"MO2026032200018","production","MRP20260322B","2026-03-22 14:06:00","2026-03-22 14:11:00"
"MO2026032200019","production","MRP20260322C","2026-03-22 14:24:00","2026-03-22 14:29:00"
"MO2026032200020","production","MRP20260323A","2026-03-22 14:42:00","2026-03-22 14:47:00"
"MO2026032200021","production","MRP20260322A","2026-03-22 15:00:00","2026-03-22 15:05:00"
"MO2026032200022","production","MRP20260322B","2026-03-22 15:18:00","2026-03-22 15:23:00"
"MO2026032200023","production","MRP20260322C","2026-03-22 15:36:00","2026-03-22 15:41:00"
"MO2026032200023","production","MRP20260324R","2026-03-24 15:36:00","2026-03-24 15:44:00"
"MO2026032200024","production","MRP20260323A","2026-03-22 15:54:00","2026-03-22 15:59:00"
"MO2026032200025","production","MRP20260322A","2026-03-22 16:12:00","2026-03-22 16:17:00"
"MO2026032200026","production","MRP20260322B","2026-03-22 16:30:00","2026-03-22 16:35:00"
"MO2026032200027","production","MRP20260322C","2026-03-22 16:48:00","2026-03-22 16:53:00"
"MO2026032200028","production","MRP20260323A","2026-03-22 17:06:00","2026-03-22 17:11:00"
"MO2026032200029","production","MRP20260322A","2026-03-22 17:24:00","2026-03-22 17:29:00"
"MO2026032200030","production","MRP20260322B","2026-03-22 17:42:00","2026-03-22 17:47:00"
"MO2026032200031","production","MRP20260322C","2026-03-22 18:00:00","2026-03-22 18:05:00"
"MO2026032200032","production","MRP20260323A","2026-03-22 18:18:00","2026-03-22 18:23:00"
"MO2026032200033","production","MRP20260322A","2026-03-22 18:36:00","2026-03-22 18:41:00"
"MO2026032200034","production","MRP20260322B","2026-03-22 18:54:00","2026-03-22 18:59:00"
"MO2026032200034","production","MRP20260324R","2026-03-24 18:54:00","2026-03-24 19:02:00"
"MO2026032200035","production","MRP20260322C","2026-03-22 19:12:00","2026-03-22 19:17:00"
"MO2026032200036","production","MRP20260323A","2026-03-22 19:30:00","2026-03-22 19:35:00"
"MO2026032200037","production","MRP20260322A","2026-03-22 19:48:00","2026-03-22 19:53:00"
"MO2026032200038","production","MRP20260322B","2026-03-22 20:06:00","2026-03-22 20:11:00"
"MO2026032200039","production","MRP20260322C","2026-03-22 20:24:00","2026-03-22 20:29:00"
"MO2026032200040","production","MRP20260323A","2026-03-22 20:42:00","2026-03-22 20:47:00"
"MO2026032200041","production","MRP20260322A","2026-03-22 21:00:00","2026-03-22 21:05:00"
"MO2026032200042","production","MRP20260322B","2026-03-22 21:18:00","2026-03-22 21:23:00"
"MO2026032200043","production","MRP20260322C","2026-03-22 21:36:00","2026-03-22 21:41:00"
"MO2026032200044","production","MRP20260323A","2026-03-22 21:54:00","2026-03-22 21:59:00"
"MO2026032200045","production","MRP20260322A","2026-03-22 22:12:00","2026-03-22 22:17:00"
"MO2026032200045","production","MRP20260324R","2026-03-24 22:12:00","2026-03-24 22:20:00"
"MO2026032200046","production","MRP20260322B","2026-03-22 22:30:00","2026-03-22 22:35:00"
"MO2026032200047","production","MRP20260322C","2026-03-22 22:48:00","2026-03-22 22:53:00"
