"production_order_no","source_sales_order_no","source_line_no","source_plan_order_no","product_code","plan_qty","production_status","last_update_time"
"MO2026032200001","SO20260322001","10","PO202603220001","P-BALLOON-001","959","OPEN","2026-03-18 15:20:00"
"MO2026032200002","SO20260322001","10","PO202603220001","P-BALLOON-001","640","OPEN","2026-03-18 16:20:00"
"MO2026032200003","SO20260322001","20","PO202603220002","P-STENT-001","680","OPEN","2026-03-18 17:35:00"
"MO2026032200004","SO20260322001","30","PO202603220003","P-ANGIO-001","605","OPEN","2026-03-18 18:50:00"
"MO2026032200005","SO20260322002","10","PO202603220004","P-STENT-001","608","OPEN","2026-03-19 19:40:00"
"MO2026032200006","SO20260322002","20","PO202603220005","P-ANGIO-001","540","OPEN","2026-03-19 20:55:00"
"MO2026032200007","SO20260322002","30","PO202603220006","P-BALLOON-001","863","IN_PROGRESS","2026-03-19 22:10:00"
"MO2026032200008","SO20260322002","30","PO202603220006","P-BALLOON-001","576","OPEN","2026-03-19 23:10:00"
"MO2026032200009","SO20260322003","10","PO202603220007","P-ANGIO-001","649","OPEN","2026-03-20 15:00:00"
"MO2026032200010","SO20260322003","20","PO202603220008","P-BALLOON-001","1024","OPEN","2026-03-20 16:15:00"
"MO2026032200011","SO20260322003","20","PO202603220008","P-BALLOON-001","682","OPEN","2026-03-20 17:15:00"
"MO2026032200012","SO20260322003","30","PO202603220009","P-STENT-001","592","OPEN","2026-03-20 18:30:00"
"MO2026032200013","SO20260322004","10","PO202603220010","P-BALLOON-001","781","DONE","2026-03-21 19:20:00"
"MO2026032200014","SO20260322004","20","PO202603220011","P-STENT-001","351","IN_PROGRESS","2026-03-21 20:35:00"
"MO2026032200015","SO20260322004","30","PO202603220012","P-ANGIO-001","814","OPEN","2026-03-21 21:50:00"
"MO2026032200016","SO20260322005","10","PO202603220013","P-STENT-001","657","OPEN","2026-03-22 22:40:00"
"MO2026032200017","SO20260322005","10","PO202603220013","P-STENT-001","438","OPEN","2026-03-22 23:40:00"
"MO2026032200018","SO20260322005","20","PO202603220014","P-ANGIO-001","394","OPEN","2026-03-22 15:55:00"
"MO2026032200019","SO20260322005","30","PO202603220015","P-BALLOON-001","617","OPEN","2026-03-22 17:10:00"
"MO2026032200020","SO20260322005","30","PO202603220015","P-BALLOON-001","411","OPEN","2026-03-22 18:10:00"
"MO2026032200021","SO20260322006","10","PO202603220016","P-ANGIO-001","633","IN_PROGRESS","2026-03-18 19:00:00"
"MO2026032200022","SO20260322006","20","PO202603220017","P-BALLOON-001","875","OPEN","2026-03-18 20:15:00"
