"report_id","order_no","order_type","process_code","report_qty","report_time","shift_code","team_code","created_at"
"REP20260322000001","MO2026032200001","production","PROC-010","192","2026-03-23 10:00:00","DAY","TEAM-A02","2026-03-23 10:01:00"
"REP20260322000002","MO2026032200002","production","PROC-010","218","2026-03-23 12:00:00","DAY","TEAM-A02","2026-03-23 12:01:00"
"REP20260322000003","MO2026032200002","production","PROC-020","320","2026-03-23 19:00:00","DAY","TEAM-A02","2026-03-23 19:01:00"
"REP20260322000004","MO2026032200003","production","PROC-010","231","2026-03-23 12:00:00","DAY","TEAM-B03","2026-03-23 12:01:00"
"REP20260322000005","MO2026032200003","production","PROC-060","340","2026-03-23 21:00:00","NIGHT","TEAM-B03","2026-03-23 21:01:00"
"REP20260322000006","MO2026032200004","production","PROC-010","121","2026-03-23 15:00:00","DAY","TEAM-A02","2026-03-23 15:01:00"
"REP20260322000007","MO2026032200005","production","PROC-010","207","2026-03-23 17:00:00","DAY","TEAM-B03","2026-03-23 17:01:00"
"REP20260322000008","MO2026032200005","production","PROC-060","304","2026-03-24 01:00:00","NIGHT","TEAM-B03","2026-03-24 01:01:00"
"REP20260322000009","MO2026032200006","production","PROC-010","108","2026-03-23 17:00:00","DAY","TEAM-A02","2026-03-23 17:01:00"
"REP20260322000010","MO2026032200007","production","PROC-010","293","2026-03-23 20:00:00","NIGHT","TEAM-A02","2026-03-23 20:01:00"
"REP20260322000011","MO2026032200007","production","PROC-020","432","2026-03-24 03:00:00","NIGHT","TEAM-A02","2026-03-24 03:01:00"
"REP20260322000012","MO2026032200007","production","PROC-040","570","2026-03-24 11:00:00","DAY","TEAM-A02","2026-03-24 11:01:00"
"REP20260322000013","MO2026032200007","production","PROC-050","708","2026-03-24 20:00:00","NIGHT","TEAM-A02","2026-03-24 20:01:00"
"REP20260322000014","MO2026032200008","production","PROC-010","196","2026-03-23 22:00:00","NIGHT","TEAM-A02","2026-03-23 22:01:00"
"REP20260322000015","MO2026032200008","production","PROC-020","288","2026-03-24 06:00:00","NIGHT","TEAM-A02","2026-03-24 06:01:00"
"REP20260322000016","MO2026032200009","production","PROC-010","130","2026-03-24 01:00:00","NIGHT","TEAM-A02","2026-03-24 01:01:00"
"REP20260322000017","MO2026032200010","production","PROC-010","348","2026-03-24 02:00:00","NIGHT","TEAM-A02","2026-03-24 02:01:00"
"REP20260322000018","MO2026032200010","production","PROC-020","512","2026-03-24 10:00:00","DAY","TEAM-A02","2026-03-24 10:01:00"
"REP20260322000019","MO2026032200011","production","PROC-010","136","2026-03-24 05:00:00","NIGHT","TEAM-A02","2026-03-24 05:01:00"
"REP20260322000020","MO2026032200012","production","PROC-010","118","2026-03-24 05:00:00","NIGHT","TEAM-B03","2026-03-24 05:01:00"
"REP20260322000021","MO2026032200013","production","PROC-010","781","2026-03-24 07:00:00","NIGHT","TEAM-A02","2026-03-24 07:01:00"
"REP20260322000022","MO2026032200013","production","PROC-020","781","2026-03-24 14:00:00","DAY","TEAM-A02","2026-03-24 14:01:00"
"REP20260322000023","MO2026032200013","production","PROC-040","781","2026-03-24 22:00:00","NIGHT","TEAM-A02","2026-03-24 22:01:00"
"REP20260322000024","MO2026032200013","production","PROC-050","781","2026-03-25 07:00:00","NIGHT","TEAM-A02","2026-03-25 07:01:00"
"REP20260322000025","MO2026032200013","production","PROC-070","781","2026-03-25 14:00:00","DAY","TEAM-A02","2026-03-25 14:01:00"
"REP20260322000026","MO2026032200013","production","PROC-080","781","2026-03-25 22:00:00","NIGHT","TEAM-A02","2026-03-25 22:01:00"
"REP20260322000027","MO2026032200013","production","PROC-100","781","2026-03-26 05:00:00","NIGHT","TEAM-A02","2026-03-26 05:01:00"
"REP20260322000028","MO2026032200013","production","PROC-110","781","2026-03-26 13:00:00","DAY","TEAM-A02","2026-03-26 13:01:00"
"REP20260322000029","MO2026032200014","production","PROC-010","119","2026-03-24 14:00:00","DAY","TEAM-B03","2026-03-24 14:01:00"
